"Minutes_Played","Goals","Total_Passes_Completed_Perc","Assists","Tackles_Interceptions","Clearances","Errors","Recoveries","Player_Positions","Age","Value_EUR","Wage_EUR","Height_cm","Nationality","Preferred_Foot","Release_Clause_EUR","Continent","Club_Ranking","League_Ranking","Contract_Years_Remained"
2397,0.04,77.5,0,3.23,0.86,0,12.1,3,27,2100000,15000,178,23,1,3900000,1,195,4,2
404,0,81.2,0,2.22,4.22,0,11.1,2,29,1500000,13000,178,29,1,3400000,1,1220,2,2
1410,0,87.8,0,5.86,2.48,0,10.5,2,21,850000,2000,173,57,1,1900000,4,539,5,4
2076,0.48,74.1,0.13,0.91,0.61,0,4.63,4,25,5.1e+07,110000,185,8,1,90500000,1,15,4,5
2076,0.48,74.1,0.13,0.91,0.61,0,4.63,3,32,6e+06,20000,175,8,1,10200000,1,170,3,1
2076,0.48,74.1,0.13,0.91,0.61,0,4.63,4,31,4700000,2000,178,13,1,10300000,2,202,67,2
2076,0.48,74.1,0.13,0.91,0.61,0,4.63,1,37,210000,3000,190,33,1,347000,2,704,9,1
2076,0.48,74.1,0.13,0.91,0.61,0,4.63,4,24,1900000,3000,177,2,0,4300000,2,1235,6,1
714,0,68.8,0,5.32,1.77,0,12.2,3,29,3e+06,19000,176,6,1,6300000,2,62,2,3
578,0,70.3,0,3.44,0.78,0,5.63,3,22,4200000,13000,173,7,0,9700000,1,226,2,4
2266,0,89.9,0,2.42,3.57,0,8.37,2,29,5e+06,28000,187,3,1,8900000,1,198,3,3
2334,0.04,72.8,0.12,4.17,2.08,0,8.07,2,29,3700000,21000,179,3,1,7400000,1,188,5,2
1861,0.05,73.2,0.29,5.51,1.45,0.05,14,3,22,3e+06,9000,194,16,1,6000000,1,88,4,3
1693,0.11,82.7,0.05,3.51,0.85,0.05,10.1,3,20,2300000,7000,183,16,0,4400000,1,70,4,4
157,0,68.4,0,4.71,2.35,0,4.12,2,21,475000,3000,180,76,1,1000000,4,132,5,4
1616,0.06,77.5,0,5.22,1.78,0.06,10.2,4,32,1.7e+07,105000,168,20,1,28900000,2,2247,3,2
1616,0.06,77.5,0,5.22,1.78,0.06,10.2,3,24,3700000,16000,179,7,1,8900000,1,1220,2,3
1616,0.06,77.5,0,5.22,1.78,0.06,10.2,1,23,1e+05,1000,187,9,1,190000,3,1078,9,4
2574,0.14,79.9,0.07,4.23,1.96,0,11.6,3,27,6e+06,23000,180,3,1,10700000,1,79,3,3
2929,0.09,86.5,0.06,6.49,1.35,0,11.8,3,21,2.8e+07,41000,187,3,1,58800000,1,2285,5,3
1660,0,75.3,0.22,4.57,2.88,0.11,7.12,2,28,27500000,130000,181,2,0,50900000,2,24,1,3
2389,0.3,77.3,0.15,4.57,0.6,0.04,9.74,3,27,8500000,23000,177,3,1,17600000,1,86,5,3
506,0,73.1,0,4.82,3.39,0,9.11,2,25,5e+06,21000,183,3,1,8900000,1,49,4,2
506,0,73.1,0,4.82,3.39,0,9.11,3,27,2400000,12000,188,3,1,4500000,1,259,3,4
1455,0.19,70.2,0.12,3.09,0.37,0,7.41,3,29,10500000,74000,178,4,0,20000000,1,695,1,2
1067,0.08,74.5,0,1.34,0.17,0,5.38,4,25,18500000,79000,178,7,1,36500000,1,58,1,2
1067,0.08,74.5,0,1.34,0.17,0,5.38,3,26,4e+06,13000,178,60,0,8300000,4,1577,67,1
1067,0.08,74.5,0,1.34,0.17,0,5.38,2,31,625000,3000,170,57,0,781000,4,1309,67,2
1067,0.08,74.5,0,1.34,0.17,0,5.38,3,19,1400000,3000,177,3,1,3100000,1,1365,5,1
1067,0.08,74.5,0,1.34,0.17,0,5.38,3,20,1e+06,4000,188,3,1,2400000,1,817,35,3
1639,0.16,82.1,0.11,3.52,1.7,0,8.68,2,19,11500000,19000,173,3,0,24200000,1,2500,5,4
1064,0,86.5,0,5.93,1.86,0,10.5,3,31,825000,7000,172,5,1,1500000,1,513,3,1
1901,0.09,80.9,0,4.03,1.37,0.05,8.77,3,34,1.2e+07,105000,180,20,1,20400000,2,2247,3,1
1901,0.09,80.9,0,4.03,1.37,0.05,8.77,2,31,7500000,19000,177,7,1,15800000,1,135,2,2
882,0.2,61.8,0.1,1.73,0.82,0,4.8,3,29,2300000,22000,178,16,1,4100000,1,74,4,4
1141,0.16,78.9,0,4.41,1.81,0,8.98,3,18,2600000,6000,183,1,1,6000000,1,177,4,4
1793,0,83.5,0,4.87,2.41,0,8.24,2,23,48500000,115000,183,4,1,93400000,1,24,1,3
1434,0.13,82.2,0,3.02,5.09,0.13,11.6,2,26,7500000,44000,191,4,1,14800000,1,179,1,5
2287,0,70.1,0.12,2.87,0.79,0,10.6,3,31,1e+07,36000,175,4,1,19000000,1,159,1,2
1941,0.09,93.2,0,3.89,1.99,0,9.31,3,32,2.4e+07,72000,186,1,1,40800000,1,21,4,1
316,0.29,73.8,0,1.14,0.29,0,4.86,3,31,6e+06,57000,190,25,0,11400000,1,33,1,1
1250,0,76.7,0.14,3.6,1.73,0,6.55,2,35,4300000,42000,175,4,1,8200000,1,73,1,1
3337,0,80.3,0.08,4.34,1.16,0.03,9.06,2,26,3700000,15000,173,3,1,7700000,1,539,5,1
409,0.44,70.5,0.67,0.89,0,0,6.44,3,26,6500000,24000,176,115,1,13500000,1,1639,5,3
3240,0,86.6,0.03,0,0.03,0.06,6.22,1,28,8.2e+07,190000,191,2,1,157900000,2,431,1,6
2183,0,78.3,0.08,4.9,1.65,0,11.2,3,30,30500000,1e+05,175,2,1,58000000,2,695,1,2
2298,0.08,72.5,0.2,2.75,1.96,0,7.92,2,24,4.6e+07,77000,175,7,0,81700000,1,15,4,4
749,0.24,79.2,0.24,1.45,0.96,0,1.93,3,24,4.7e+07,90000,171,2,1,81100000,2,16,3,3
2752,0.07,80.7,0.03,6.24,2.06,0.03,11.5,3,30,21500000,43000,180,3,1,40900000,1,2182,5,2
1838,0.05,89.5,0,4.71,3.77,0.1,11.7,2,20,15500000,29000,194,3,0,32600000,1,2285,5,3
3193,0.31,72.9,0.34,2.59,1.24,0,5.61,3,27,1.6e+07,47000,178,3,1,31600000,1,2500,5,2
378,0,70.1,0,0.71,0.24,0,7.38,4,21,1200000,4000,183,3,0,3200000,1,475,5,3
378,0,70.1,0,0.71,0.24,0,7.38,3,21,325000,850,177,3,0,634000,1,2118,33,4
131,0,84.2,1.33,2,0,0,7.33,4,19,7500000,31000,180,12,1,14300000,1,15,4,4
2686,0.1,83.7,0,4.7,6.07,0.03,6.68,2,26,3500000,15000,181,3,1,7300000,1,2396,5,2
542,0.5,77,0.17,2.67,2.5,0.17,7,2,24,40500000,1e+05,178,4,0,78000000,1,5,1,4
2250,0,69.3,0,0,0,0.16,4.8,1,33,5500000,24000,187,3,1,11000000,1,1365,5,1
2678,0.07,82.4,0,4.46,1.88,0,10.4,3,26,17500000,47000,186,5,1,31100000,1,28,3,3
2538,0.04,85.9,0.04,3.01,3.3,0,7.13,2,28,1.6e+07,85000,182,19,0,30400000,1,23,1,3
1269,0.35,75.9,0.35,1.35,0.28,0,2.77,4,24,1.7e+07,30000,180,21,1,39100000,4,18,2,5
2256,0.04,85,0.04,3.94,3.31,0.04,10.5,2,28,17500000,51000,190,69,1,31100000,1,25,3,2
231,0.38,75,0,3.46,0,0,6.15,3,21,1300000,3000,172,3,1,2900000,1,2565,5,2
2166,0.37,73.3,0.12,1.66,0.29,0,4.56,4,24,1.6e+07,27000,187,14,1,28400000,1,113,4,2
3111,0.29,75.3,0.17,2.8,1.16,0.09,7.46,3,26,107500000,250000,179,8,1,206900000,1,24,1,4
3111,0.29,75.3,0.17,2.8,1.16,0.09,7.46,3,26,375000,500,167,105,1,534000,5,2082,67,3
2340,0,48,0.04,0,0.23,0.08,5.04,1,38,1600000,27000,193,4,0,3000000,1,319,1,1
2494,0,81.7,0,2.49,5.74,0.04,7.22,2,28,2200000,23000,185,4,0,4600000,1,682,1,3
2029,0,76.8,0,4.49,4.36,0.13,7.16,2,23,2.2e+07,56000,183,4,1,46200000,1,695,1,4
1634,0,87.1,0.16,5.22,1.1,0,7.53,3,23,24500000,52000,182,2,1,48400000,2,1422,5,3
1143,0.24,80.2,0.24,5.04,1.73,0,7.17,2,24,9500000,46000,183,16,1,16900000,1,15,4,4
2777,0.29,71.8,0.16,2.1,0.42,0.03,5.89,4,28,3100000,22000,185,17,0,5600000,1,596,4,3
375,0.24,82.1,0,3.81,3.33,0,6.67,2,31,3800000,28000,193,16,0,6500000,1,70,4,1
1573,0.57,71.2,0,0.74,0.29,0,2.74,4,28,21500000,34000,187,7,1,45200000,1,38,2,3
